imagem_0,0.00,1.00,17.04
imagem_1,0.00,1.00,18.13
imagem_2,0.00,1.00,19.22
imagem_3,0.00,1.00,20.32
imagem_4,0.00,1.00,21.41
imagem_5,0.00,1.00,22.51
imagem_6,0.00,1.00,23.60
imagem_7,0.00,1.00,24.70
imagem_8,0.00,1.00,25.79
imagem_9,0.00,1.00,26.88
imagem_10,0.00,1.00,27.98
imagem_11,0.00,1.00,29.07
imagem_12,0.00,1.00,30.17
imagem_13,0.00,1.00,31.26
imagem_14,0.00,1.00,32.36
imagem_15,0.00,1.00,33.45
imagem_16,0.00,1.00,34.54
imagem_17,0.00,1.00,35.64
imagem_18,0.00,1.00,36.73
imagem_19,0.00,1.00,37.83
imagem_20,0.00,1.00,38.92
imagem_21,0.00,0.00,40.02
imagem_22,0.00,0.00,41.11
imagem_23,0.00,0.00,42.21
imagem_24,0.00,0.00,43.30
imagem_25,0.00,0.00,44.39
imagem_26,0.00,0.00,45.49
imagem_27,0.00,0.00,46.58
imagem_28,0.00,0.00,47.68
imagem_29,0.00,0.00,48.77
imagem_30,0.00,0.00,49.35
imagem_31,0.00,0.00,49.06
imagem_32,0.00,0.00,49.21
imagem_33,0.00,0.00,49.14
imagem_34,0.00,0.00,49.17
imagem_35,0.00,0.00,49.15
imagem_36,0.00,0.00,49.16
imagem_37,0.00,0.00,49.16
imagem_38,0.00,0.00,49.16
imagem_39,0.00,0.00,49.16
imagem_40,0.00,0.00,49.16
imagem_41,0.00,0.00,49.16
imagem_42,0.00,0.00,49.16
imagem_43,0.00,0.00,49.16
imagem_44,0.00,0.00,49.16
imagem_45,0.00,0.00,49.16
imagem_46,0.00,0.00,49.16
imagem_47,0.00,0.00,49.16
imagem_48,0.00,0.00,49.16
imagem_49,0.00,0.00,49.16
imagem_50,0.00,0.00,49.16
imagem_51,-1.00,0.00,49.16
imagem_52,-1.00,0.00,49.16
imagem_53,-1.00,0.00,49.12
imagem_54,-1.00,0.00,49.01
imagem_55,-1.00,0.00,48.88
imagem_56,-1.00,0.00,48.76
imagem_57,-1.00,0.00,48.56
imagem_58,-1.00,0.00,48.35
imagem_59,-1.00,0.00,48.18
imagem_60,-1.00,0.00,47.99
imagem_61,-1.00,0.00,47.80
imagem_62,-1.00,0.00,47.61
imagem_63,0.00,0.00,47.42
imagem_64,0.00,0.00,47.23
imagem_65,0.00,0.00,47.10
imagem_66,0.00,0.00,46.96
imagem_67,0.00,0.00,47.03
imagem_68,0.00,0.00,47.20
imagem_69,0.00,0.00,47.26
imagem_70,0.00,0.00,47.29
imagem_71,1.00,0.00,47.27
imagem_72,1.00,0.00,47.27
